,nok_kg,uker,usd_real,sesongfaktor,just_nok_log,just_real_log,margin,A_raa,A_detrendet,A_margin
2000-01,31.02000,4,7.65807,,,,,,,
2000-02,32.12000,4,7.66931,,,,,,,
2000-03,33.04200,5,7.66213,,,,,,,
2000-04,34.68500,4,7.85447,,,,,,,
2000-05,37.08750,4,7.98167,,,,,,,
2000-06,34.87000,5,7.78206,,,,,,,
2000-07,35.43250,4,7.86790,,,,,,,
2000-08,34.21800,5,7.38339,,,,,,,
2000-09,29.66750,4,6.19539,,,,,,,
2000-10,27.58500,4,5.65493,,,,,,,
2000-11,26.87600,5,5.52081,,,,,,,
2000-12,27.64750,4,5.85223,,,,,,,
2001-01,27.02500,4,5.87089,,,,,,,
2001-02,26.75000,4,5.70144,,,,,,,
2001-03,27.76400,5,5.86300,,,,,,,
2001-04,27.57750,4,5.72404,,,,,,,
2001-05,27.27000,5,5.60416,,,,,,,
2001-06,26.95500,4,5.43797,,,,,,,
2001-07,26.34750,4,5.35058,,,,,,,
2001-08,26.20200,5,5.50939,,,,,,,
2001-09,25.45250,4,5.42875,,,,,,,
2001-10,24.40500,4,5.19445,,,,,,,
2001-11,23.20800,5,4.89777,,,,,,,
2001-12,22.78000,4,4.80708,,,,,,,
2002-01,22.72200,5,4.77697,,,,,,,
2002-02,22.51250,4,4.72483,,,,,,,
2002-03,23.58750,4,4.99907,,,,,,,
2002-04,23.97500,4,5.17419,,,,,,,
2002-05,24.52600,5,5.56016,,,,,,,
2002-06,23.62250,4,5.65520,,,,,,,
2002-07,22.81250,4,5.66659,,,,,,,
2002-08,23.82000,5,5.79350,,,,,,,
2002-09,23.62000,4,5.80502,,,,,,,
2002-10,23.33200,5,5.74334,,,,,,,
2002-11,22.45250,4,5.65751,,,,,,,
2002-12,23.08500,4,5.94474,,,,,,,
2003-01,22.81800,5,6.07399,,,,,,,
2003-02,22.77500,4,5.93122,,,,,,,
2003-03,23.13500,4,5.77587,,,,,,,
2003-04,22.99500,4,5.78336,,,,,,,
2003-05,22.21000,5,5.94089,,,,,,,
2003-06,19.01500,4,4.93669,,,,,,,
2003-07,17.91000,5,4.46082,,,,,,,
2003-08,18.74750,4,4.57372,,,,,,,
2003-09,21.05500,4,5.19535,,,,,,,
2003-10,22.35600,5,5.73390,,,,,,,
2003-11,20.84500,4,5.38426,,,,,,,
2003-12,20.99750,4,5.67096,,,,,,,
2004-01,22.03800,5,5.83203,,,,,,,
2004-02,23.08000,4,5.96459,,,,,,,
2004-03,24.01250,4,6.14264,,,,,,,
2004-04,24.97400,5,6.40620,,,,,,,
2004-05,23.77750,4,6.14356,,,,,,,
2004-06,22.04750,4,5.68488,,,,,,,
2004-07,21.55000,5,5.49823,,,,,,,
2004-08,23.02500,4,5.92860,,,,,,,
2004-09,22.27800,5,5.72451,,,,,,,
2004-10,21.03750,4,5.57965,,,,,,,
2004-11,20.24000,4,5.64549,,,,,,,
2004-12,22.59400,5,6.46524,,,,,,,
2005-01,23.14500,4,6.47358,,,,,,,
2005-02,24.88000,4,6.77416,,,,,,,
2005-03,24.79600,5,6.91185,,,,,,,
2005-04,25.15750,4,6.83053,,,,,,,
2005-05,25.56000,4,6.89545,,,,,,,
2005-06,27.11800,5,7.17486,,,,,,,
2005-07,29.15750,4,7.57251,,,,,,,
2005-08,27.93500,4,7.37453,,,,,,,
2005-09,26.76600,5,7.05522,,,,,,,
2005-10,26.22000,4,6.73993,,,,,,,
2005-11,26.01000,4,6.61571,,,,,,,
2005-12,27.58800,5,6.95981,,,,,,,
2006-01,26.68500,4,6.76680,-0.01477,3.29887,1.92680,1.78754,,,
2006-02,26.99250,4,6.71919,0.00797,3.28759,1.89700,1.76749,,,
2006-03,30.58200,5,7.70061,0.03767,3.38274,2.00363,1.94394,,,
2006-04,34.76250,4,9.02267,0.05039,3.49814,2.14935,2.18173,,,
2006-05,37.44750,4,10.10938,0.03980,3.58314,2.27366,2.37527,,,
2006-06,41.57800,5,10.99814,-0.00408,3.73165,2.40180,2.75556,,,
2006-07,38.40250,4,10.06737,-0.01565,3.66377,2.32495,2.57473,,,
2006-08,36.26000,5,9.51884,0.01186,3.57885,2.24141,2.36512,,,
2006-09,30.55750,4,7.75113,-0.00303,3.42264,2.05087,2.02306,,,
2006-10,28.63500,4,7.11659,-0.02284,3.37747,1.98527,1.93372,,,
2006-11,27.67200,5,7.16370,-0.06174,3.38216,2.03077,1.94281,,,
2006-12,27.74000,4,7.43449,-0.02559,3.34846,2.03172,2.06160,,,
2007-01,28.55250,4,7.39574,-0.03542,3.38716,2.03632,2.14294,,,
2007-02,28.55500,4,7.57406,-0.01828,3.37012,2.04301,2.10672,,,
2007-03,28.80600,5,7.62519,0.02454,3.33604,2.00691,2.03614,,,
